#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
500,4.54284E-04,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,4.91096E-10,2.00000E-03
1000,5.34962E-03,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,5.78312E-09,1.00000E-03
2500,3.69766E-02,occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,3.99730E-08,4.00000E-04
25,2.16383E+04,structural,Canada,East,Nova Scotia / Nouvelle-Écosse,5.09519E-07,4.00000E-02
50,1.01187E+06,structural,Canada,East,Nova Scotia / Nouvelle-Écosse,2.38266E-05,2.00000E-02
100,5.55883E+06,structural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.30894E-04,1.00000E-02
250,1.91303E+07,structural,Canada,East,Nova Scotia / Nouvelle-Écosse,4.50464E-04,4.00000E-03
500,3.34622E+07,structural,Canada,East,Nova Scotia / Nouvelle-Écosse,7.87938E-04,2.00000E-03
1000,5.25500E+07,structural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.23740E-03,1.00000E-03
2500,7.75943E+07,structural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.82712E-03,4.00000E-04
2500,3.92433E+02,contents,Canada,East,Nunavut,1.12534E-05,4.00000E-04
2500,3.90201E+02,nonstructural,Canada,East,Nunavut,2.86152E-06,4.00000E-04
2500,4.09553E+04,structural,Canada,East,Nunavut,1.11523E-03,4.00000E-04
10,9.30852E+03,contents,Canada,East,Ontario,2.15856E-08,1.00000E-01
25,1.12779E+06,contents,Canada,East,Ontario,2.61524E-06,4.00000E-02
50,5.90064E+06,contents,Canada,East,Ontario,1.36831E-05,2.00000E-02
100,2.05054E+07,contents,Canada,East,Ontario,4.75501E-05,1.00000E-02
250,7.21365E+07,contents,Canada,East,Ontario,1.67278E-04,4.00000E-03
500,1.53417E+08,contents,Canada,East,Ontario,3.55761E-04,2.00000E-03
1000,3.26924E+08,contents,Canada,East,Ontario,7.58107E-04,1.00000E-03
2500,7.11148E+08,contents,Canada,East,Ontario,1.64909E-03,4.00000E-04
10,1.74006E+04,nonstructural,Canada,East,Ontario,9.63895E-09,1.00000E-01
25,2.16010E+06,nonstructural,Canada,East,Ontario,1.19657E-06,4.00000E-02
50,1.34289E+07,nonstructural,Canada,East,Ontario,7.43883E-06,2.00000E-02
100,5.13951E+07,nonstructural,Canada,East,Ontario,2.84699E-05,1.00000E-02
250,2.28860E+08,nonstructural,Canada,East,Ontario,1.26775E-04,4.00000E-03
500,5.15726E+08,nonstructural,Canada,East,Ontario,2.85682E-04,2.00000E-03
1000,1.32363E+09,nonstructural,Canada,East,Ontario,7.33214E-04,1.00000E-03
2500,2.98607E+09,nonstructural,Canada,East,Ontario,1.65411E-03,4.00000E-04
25,2.70794E-06,occupants,Canada,East,Ontario,1.99097E-13,4.00000E-02
50,7.03194E-03,occupants,Canada,East,Ontario,5.17014E-10,2.00000E-02
100,1.34200E-01,occupants,Canada,East,Ontario,9.86687E-09,1.00000E-02
250,1.80650E+00,occupants,Canada,East,Ontario,1.32821E-07,4.00000E-03
500,6.87789E+00,occupants,Canada,East,Ontario,5.05688E-07,2.00000E-03
1000,2.65835E+01,occupants,Canada,East,Ontario,1.95452E-06,1.00000E-03
2500,9.16367E+01,occupants,Canada,East,Ontario,6.73746E-06,4.00000E-04
10,3.37468E+05,structural,Canada,East,Ontario,5.13455E-07,1.00000E-01
25,2.12941E+07,structural,Canada,East,Ontario,3.23988E-05,4.00000E-02
50,8.56903E+07,structural,Canada,East,Ontario,1.30377E-04,2.00000E-02
100,2.24627E+08,structural,Canada,East,Ontario,3.41768E-04,1.00000E-02
250,6.07247E+08,structural,Canada,East,Ontario,9.23920E-04,4.00000E-03
500,1.05988E+09,structural,Canada,East,Ontario,1.61259E-03,2.00000E-03
1000,1.63722E+09,structural,Canada,East,Ontario,2.49102E-03,1.00000E-03
2500,2.80058E+09,structural,Canada,East,Ontario,4.26106E-03,4.00000E-04
50,1.41801E+03,contents,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,2.99761E-07,2.00000E-02
100,1.90846E+04,contents,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,4.03439E-06,1.00000E-02
250,1.01257E+05,contents,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,2.14052E-05,4.00000E-03
500,2.16294E+05,contents,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,4.57236E-05,2.00000E-03
1000,4.60593E+05,contents,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,9.73673E-05,1.00000E-03
2500,1.08994E+06,contents,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,2.30408E-04,4.00000E-04
