#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T19:26:42', checksum=2938527266, investigation_time=1.0, risk_investigation_time=1.0"
event_id,contents,nonstructural,occupants,structural,rlz_id,rup_id,year
1172,1.04978E+06,1.90543E+06,7.83046E-04,6.56202E+05,0,633,1
1173,6.80578E+05,9.61966E+05,4.17371E-04,2.21263E+05,0,634,1
1174,8.46604E+05,1.43886E+06,3.20307E-04,4.04923E+05,0,635,1
1175,5.08951E+06,2.13997E+07,5.50344E-01,1.24123E+07,0,636,1
1182,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,643,1
1183,4.56858E+03,6.40542E+03,0.00000E+00,1.08228E+03,0,644,1
1186,2.38542E+04,2.65271E+04,0.00000E+00,9.07257E+02,0,646,1
1187,1.48054E+04,1.33200E+04,0.00000E+00,4.21059E+03,0,647,1
1189,5.08288E+04,6.59744E+04,0.00000E+00,3.16340E+03,0,648,1
1190,4.63492E+06,1.19957E+07,1.64238E-01,6.00651E+06,0,649,1
1193,3.70379E+04,5.85183E+04,0.00000E+00,3.79179E+03,0,652,1
1194,2.93191E+04,2.23018E+04,0.00000E+00,1.33257E+04,0,653,1
1195,3.36942E+04,5.75919E+04,0.00000E+00,1.83742E+03,0,654,1
1196,5.87052E+04,7.82594E+04,0.00000E+00,1.78946E+04,0,655,1
1207,7.07496E+03,7.98018E+03,0.00000E+00,3.38341E+03,0,663,1
1208,2.92876E+04,3.44530E+04,0.00000E+00,1.69897E+03,0,664,1
1209,4.66302E+04,6.52090E+04,0.00000E+00,6.50568E+03,0,665,1
1210,2.62467E+05,2.58899E+05,4.71786E-04,5.36793E+04,0,666,1
1211,1.76733E+05,2.12702E+05,0.00000E+00,3.37916E+04,0,667,1
1212,2.73020E+06,8.29871E+06,5.42209E-02,4.11749E+06,0,668,1
1213,2.24731E+06,5.89113E+06,2.29632E-01,2.15777E+06,0,669,1
1219,5.60206E+03,4.66528E+03,0.00000E+00,2.44915E+03,0,675,1
1220,4.05585E+04,5.59971E+04,0.00000E+00,1.06255E+04,0,676,1
1221,3.22675E+05,3.61947E+05,4.24377E-06,6.82165E+04,0,677,1
1222,4.55829E+05,1.25946E+06,9.44564E-04,3.03202E+05,0,678,1
1223,8.61530E+05,1.42217E+06,2.48227E-04,3.71253E+05,0,679,1
1232,2.07772E+03,1.48988E+03,0.00000E+00,1.42663E+03,0,688,1
1233,8.75396E+03,1.00412E+04,0.00000E+00,3.57144E+01,0,689,1
1234,1.91936E+05,3.41451E+05,4.15100E-05,5.97461E+04,0,690,1
1239,2.53594E+04,2.86472E+04,0.00000E+00,1.09988E+03,0,695,1
1240,4.31513E+04,5.16075E+04,0.00000E+00,2.11555E+03,0,696,1
1241,7.66448E+05,1.49432E+06,3.21674E-04,3.32192E+05,0,697,1
1246,1.07898E+04,8.63824E+03,0.00000E+00,1.68279E+03,0,702,1
1247,1.78569E+04,1.33717E+04,0.00000E+00,1.09855E+02,0,703,1
1248,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,704,1
1249,5.83483E+05,1.13052E+06,3.78921E-03,4.36167E+05,0,705,1
1250,7.12122E+05,1.07951E+06,3.98850E-01,2.34223E+05,0,706,1
1251,3.99322E+06,1.21467E+07,1.58574E-01,6.03318E+06,0,707,1
1258,2.39556E+05,3.44768E+05,1.17304E-05,4.52795E+04,0,713,1
1259,4.82091E+05,6.22104E+05,5.32000E-06,1.24765E+05,0,714,1
1260,3.74327E+06,1.31987E+07,1.74995E-01,7.27290E+06,0,715,1
1261,5.52089E+06,2.47881E+07,1.06661E+00,1.53384E+07,0,716,1
1268,1.38893E+05,1.37116E+05,0.00000E+00,2.51476E+04,0,723,1
1269,2.67492E+05,2.56704E+05,8.72902E-04,5.23815E+04,0,724,1
1270,2.54567E+05,2.78614E+05,0.00000E+00,5.22333E+04,0,725,1
1271,3.80789E+05,6.55652E+05,1.15144E-05,1.09643E+05,0,726,1
1272,2.02927E+06,5.49823E+06,3.62390E-02,2.17152E+06,0,727,1
1273,1.68156E+06,2.49702E+06,2.64463E-03,3.69154E+05,0,728,1
1274,1.12135E+06,3.12262E+06,1.56291E-01,1.05593E+06,0,729,1
1275,1.36453E+06,2.82557E+06,1.47901E-03,9.27133E+05,0,730,1
1280,1.58665E+05,1.83200E+05,0.00000E+00,3.97218E+04,0,735,1
1281,2.47035E+04,2.95785E+04,0.00000E+00,9.24250E+03,0,736,1
1282,1.34053E+06,2.99742E+06,3.03943E-03,9.24154E+05,0,737,1
1291,1.60200E+05,2.03045E+05,0.00000E+00,3.50673E+04,0,744,1
1292,1.12286E+06,1.98186E+06,2.47701E-03,9.48110E+05,0,745,1
1293,1.50794E+06,2.57788E+06,3.69750E-01,1.63055E+06,0,745,1
1302,7.95108E+03,6.05464E+03,0.00000E+00,6.66805E+02,0,753,1
1303,3.13375E+05,7.63553E+05,8.71581E-05,1.51008E+05,0,754,1
1304,1.07471E+05,1.20216E+05,0.00000E+00,1.59942E+04,0,754,1
1305,8.92950E+05,1.50532E+06,3.13339E-04,4.30242E+05,0,755,1
1306,6.49890E+05,1.61930E+06,2.43738E-02,3.83464E+05,0,756,1
1307,1.56265E+06,3.76738E+06,1.83244E-02,1.59732E+06,0,757,1
1308,8.55662E+06,3.98943E+07,2.96895E+00,2.51787E+07,0,758,1
1309,3.87917E+06,1.56291E+07,4.53411E-01,6.44962E+06,0,759,1
1317,4.61589E+05,5.71755E+05,2.65462E-05,1.26108E+05,0,767,1
1332,2.18457E+04,1.63482E+04,0.00000E+00,6.84592E+03,0,782,1
1334,4.92723E+04,7.53906E+04,0.00000E+00,2.71002E+03,0,784,1
1335,3.19152E+05,3.43841E+05,0.00000E+00,7.34005E+04,0,785,1
1336,6.89434E+04,9.57937E+04,0.00000E+00,1.98142E+04,0,786,1
1337,1.69797E+06,4.12573E+06,3.89610E-02,1.71875E+06,0,787,1
1342,1.52185E+05,2.45289E+05,1.29480E-04,6.51031E+04,0,791,1
1350,5.29966E+04,4.05711E+04,0.00000E+00,1.79091E+04,0,798,1
1351,1.50011E+03,2.32464E+03,0.00000E+00,1.53477E+02,0,799,1
1352,5.28738E+05,8.35644E+05,5.16200E-05,1.48631E+05,0,800,1
1353,2.87447E+05,3.29898E+05,5.32000E-06,5.26595E+04,0,801,1
1356,2.79134E+04,3.94429E+04,0.00000E+00,1.59909E+03,0,804,1
1357,5.65220E+04,9.68322E+04,0.00000E+00,8.63738E+03,0,805,1
1359,4.05636E+04,4.83663E+04,0.00000E+00,4.59528E+03,0,807,1
1360,7.83705E+05,1.25304E+06,1.58071E-04,3.17359E+05,0,808,1
1361,1.80873E+06,4.73817E+06,3.44626E-02,1.84060E+06,0,809,1
1372,3.25387E+04,2.83345E+04,0.00000E+00,1.41578E+04,0,819,1
1373,5.23206E+04,4.87595E+04,0.00000E+00,2.57256E+03,0,820,1
1374,5.60757E+05,1.42378E+06,9.31427E-04,3.42973E+05,0,821,1
1375,2.37069E+06,8.29380E+06,2.06141E-01,3.36951E+06,0,822,1
1376,2.00014E+06,5.54148E+06,9.98314E-03,2.08039E+06,0,823,1
1386,3.01428E+04,3.00251E+04,0.00000E+00,6.56714E+02,0,833,1
1387,2.53323E+03,1.81794E+03,0.00000E+00,1.57734E+03,0,834,1
1388,1.65614E+05,1.77851E+05,0.00000E+00,4.14297E+04,0,835,1
1389,1.32534E+05,1.54044E+05,2.19093E-03,2.16061E+04,0,836,1
1390,1.88465E+06,6.35152E+06,1.26856E-01,3.01072E+06,0,837,1
1403,1.55681E+03,1.11599E+03,0.00000E+00,1.23754E+03,0,848,1
1404,8.71323E+05,1.97678E+06,5.23264E-03,6.16265E+05,0,849,1
1415,3.01847E+05,3.13179E+05,0.00000E+00,6.06258E+04,0,859,1
